game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2023_05_JAX_BUF,2023,5,BUF,2023-10-08 09:00:00,49.6,16.6,34.4,0.004
2023_06_NYG_BUF,2023,6,BUF,2023-10-15 20:00:00,46.0,7.8,16.6,0.004
2023_08_TB_BUF,2023,8,BUF,2023-10-26 20:00:00,66.0,12.2,21.9,0.0
2023_10_DEN_BUF,2023,10,BUF,2023-11-13 20:00:00,47.7,11.8,23.0,0.0
2023_11_NYJ_BUF,2023,11,BUF,2023-11-19 16:00:00,44.5,11.3,25.5,0.0
2023_15_DAL_BUF,2023,15,BUF,2023-12-17 16:00:00,48.5,9.5,26.8,0.012
2023_17_NE_BUF,2023,17,BUF,2023-12-31 13:00:00,35.9,8.4,15.9,0.012
2023_19_PIT_BUF,2023,19,BUF,2024-01-15 16:00:00,18.5,14.1,28.6,0.0
2023_20_KC_BUF,2023,20,BUF,2024-01-21 18:00:00,25.3,13.9,26.6,0.0
2024_01_ARI_BUF,2024,1,BUF,2024-09-08 13:00:00,58.8,18.3,36.9,0.0
2024_03_JAX_BUF,2024,3,BUF,2024-09-23 19:00:00,69.8,1.8,8.3,0.0
2024_07_TEN_BUF,2024,7,BUF,2024-10-20 13:00:00,64.0,12.3,25.1,0.0
2024_09_MIA_BUF,2024,9,BUF,2024-11-03 13:00:00,53.0,6.5,15.0,0.0
2024_11_KC_BUF,2024,11,BUF,2024-11-17 16:00:00,52.3,4.8,12.8,0.0
2024_13_SF_BUF,2024,13,BUF,2024-12-01 20:00:00,30.0,8.2,19.0,0.004
2024_16_NE_BUF,2024,16,BUF,2024-12-22 16:00:00,10.7,2.0,6.3,0.0
2024_17_NYJ_BUF,2024,17,BUF,2024-12-29 13:00:00,52.8,18.0,31.8,0.0
2024_19_DEN_BUF,2024,19,BUF,2025-01-12 13:00:00,31.2,10.0,22.6,0.0
2024_20_BAL_BUF,2024,20,BUF,2025-01-19 18:00:00,19.6,6.0,12.5,0.004
2025_01_BAL_BUF,2025,1,BUF,2025-09-07 20:00:00,59.7,8.4,21.3,0.0
2025_03_MIA_BUF,2025,3,BUF,2025-09-18 20:00:00,66.7,7.6,15.2,0.0
2025_04_NO_BUF,2025,4,BUF,2025-09-28 13:00:00,73.0,5.0,13.6,0.0
2025_05_NE_BUF,2025,5,BUF,2025-10-05 20:00:00,72.1,2.3,3.4,0.0
2025_09_KC_BUF,2025,9,BUF,2025-11-02 16:00:00,54.9,1.5,6.9,0.0
2025_11_TB_BUF,2025,11,BUF,2025-11-16 13:00:00,39.1,18.7,39.6,0.008
2025_14_CIN_BUF,2025,14,BUF,2025-12-07 13:00:00,31.6,11.0,22.8,0.035
2025_17_PHI_BUF,2025,17,BUF,2025-12-28 16:00:00,39.3,2.6,4.7,0.11
2025_18_NYJ_BUF,2025,18,BUF,2026-01-04 16:00:00,27.0,11.9,23.7,0.004
2013_01_SEA_CAR,2013,1,CAR,2013-09-08 13:00:00,85.6,4.8,15.9,0.0
