decay,prior,alpha,ridge,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n
0.99,0.8,4.0,3.0,7.537600059713549,10.264754307497103,10.85717077348722,372.0,0.5026881720430108,-0.0403225806451613,223.0,0.5067264573991032,-0.0326131267835304,0.2232140705171011,1055
0.99,0.8,4.0,10.0,7.534340890936856,10.260849025111698,10.848248059641035,367.0,0.5040871934604905,-0.0376517215754273,223.0,0.5067264573991032,-0.0326131267835303,0.2230689023328935,1055
0.99,0.8,8.0,1.0,7.539568818783398,10.26851577715576,10.861495083346467,383.0,0.5117493472584856,-0.0230239734156183,226.0,0.5,-0.0454545454545454,0.223335306944942,1055
0.99,0.8,8.0,3.0,7.538289688857941,10.266992619465292,10.857936535336489,379.0,0.5118733509234829,-0.0227872391460782,225.0,0.4977777777777777,-0.0496969696969697,0.2232750030201565,1055
0.99,0.8,8.0,10.0,7.535019977788648,10.262775232493055,10.849386634981158,370.0,0.5,-0.0454545454545454,223.0,0.4977578475336323,-0.0497350183448838,0.2231265346312698,1055
0.85,0.5,8.0,1.0,7.486181565756333,10.191175243630857,10.73322198020005,297.0,0.5185185185185185,-0.010101010101010117,183.0,0.5191256830601093,-0.00894187779433684,0.2226834571985365,1055
0.85,0.5,8.0,3.0,7.486075441845586,10.190533126869946,10.73330031361644,297.0,0.5185185185185185,-0.010101010101010117,183.0,0.5245901639344263,0.0014903129657227788,0.2226775308585651,1055
0.85,0.5,8.0,10.0,7.485735452970502,10.188545759984407,10.733469729248759,297.0,0.5185185185185185,-0.010101010101010117,185.0,0.5297297297297298,0.011302211302211276,0.22266121798011485,1055
0.85,0.5,16.0,1.0,7.486730620353158,10.199109777110877,10.72667288991077,311.0,0.5176848874598071,-0.011692487576731974,184.0,0.5271739130434783,0.006422924901185739,0.22271925120328184,1055
0.85,0.5,16.0,3.0,7.486623252580141,10.198408130893103,10.726772504639264,310.0,0.5161290322580645,-0.014662756598240496,184.0,0.5271739130434783,0.006422924901185739,0.22271347650965867,1055
0.85,0.5,16.0,10.0,7.486339260359367,10.196292145586966,10.72700225523121,308.0,0.5162337662337663,-0.014462809917355393,184.0,0.5271739130434783,0.006422924901185739,0.2226975753133016,1055
0.85,0.5,32.0,1.0,7.4878080184915365,10.205158484969314,10.722371061209383,310.0,0.5193548387096775,-0.008504398826979493,188.0,0.5319148936170213,0.015473887814313327,0.22274862636904277,1055
0.85,0.5,32.0,3.0,7.4877510552861235,10.204470193714952,10.722485943698059,310.0,0.5193548387096775,-0.008504398826979493,188.0,0.5319148936170213,0.015473887814313327,0.22274291533056323,1055
